Lugar;Espacialidade;COD IBGE;% da população em domicílios com água encanada (2010);% da população em domicílios com banheiro e água encanada (2010);% da população em domicílios com coleta de lixo (2010);% da população em domicílios com energia elétrica (2010);% da população em domicílios com densidade > 2 (2010)
Dona Eusébia (MG);Município;312290;95,64;99,14;99,25;99,94;11,12
Dores de Campos (MG);Município;312300;94,17;97,42;97,95;99,77;16,05
Dores de Guanhães (MG);Município;312310;65;85,4;95,8;98,32;21,31
Dores do Indaiá (MG);Município;312320;99,23;98,05;99,66;99,78;12,14
Dores do Turvo (MG);Município;312330;89,82;99,5;98,68;99,3;14,18
Doresópolis (MG);Município;312340;95,14;97,24;99,53;99,87;14,68
Douradoquara (MG);Município;312350;91,93;87,33;100;100;7,25
Durandé (MG);Município;312352;84,73;99,05;93,05;99,74;16,22
Elói Mendes (MG);Município;312360;97,23;94,54;99,45;99,76;18,48
Engenheiro Caldas (MG);Município;312370;94,42;96,69;97,55;99,91;20,81
Engenheiro Navarro (MG);Município;312380;83,37;95,1;92,83;99,64;25
Entre Folhas (MG);Município;312385;95,51;99,46;96,37;99,63;18,4
Entre Rios de Minas (MG);Município;312390;93,53;94,1;98,61;99,29;15,02
Ervália (MG);Município;312400;90,23;98,75;99,03;99,92;10,62
Esmeraldas (MG);Município;312410;93,97;92,92;89,39;99,1;27,88
Espera Feliz (MG);Município;312420;90,44;98,56;99,37;100;14,73
Espinosa (MG);Município;312430;80;72,32;85,45;97,05;25,17
Espírito Santo do Dourado (MG);Município;312440;79,66;98,01;99,83;99,89;10,91
Estiva (MG);Município;312450;84,65;99,16;100;99,91;18,1
Estrela Dalva (MG);Município;312460;89,23;99,15;99,67;99,61;21,03
Estrela do Indaiá (MG);Município;312470;91,02;99,08;94,2;100;14,71
Estrela do Sul (MG);Município;312480;92,76;97,25;94,9;99;19,79
Eugenópolis (MG);Município;312490;94,46;99,87;99,54;99,95;12,43
Ewbank da Câmara (MG);Município;312500;99,45;98,77;99,91;99,61;21,61
Extrema (MG);Município;312510;89,87;95,64;99,41;99,96;26,19
Fama (MG);Município;312520;93,41;100;99,88;99,78;15,35
Faria Lemos (MG);Município;312530;94,64;97,77;100;99,51;17,33
Felício dos Santos (MG);Município;312540;88,82;88,2;91,03;99,52;27,44
Felisburgo (MG);Município;312560;91,87;60,84;91,81;96,31;23,38
Felixlândia (MG);Município;312570;89,04;90,8;97,64;98,78;20,4
Fernandes Tourinho (MG);Município;312580;97,34;95,87;91,35;99,28;17,83
Ferros (MG);Município;312590;64,52;82,82;62,45;95,1;20,04
Fervedouro (MG);Município;312595;78,85;97,91;97,52;99,02;19,04
Florestal (MG);Município;312600;94,64;99,3;97,95;100;16,52
Formiga (MG);Município;312610;97,16;98,37;99,18;99,94;9,87
Formoso (MG);Município;312620;84,09;80,69;89,34;88,37;33,87
Fortaleza de Minas (MG);Município;312630;89,18;99,17;100;99,77;13,65
Fortuna de Minas (MG);Município;312640;86,34;96,63;99,12;100;21,13
Francisco Badaró (MG);Município;312650;78,24;62,11;94,64;97,21;23,62
Francisco Dumont (MG);Município;312660;59,49;83,84;84,18;98,48;27,31
Franciscópolis (MG);Município;312675;78,83;64,47;95,5;94,91;26,15
Francisco Sá (MG);Município;312670;76,67;74,09;82,64;97,72;31,7
Frei Gaspar (MG);Município;312680;89,09;82,83;90,17;97,43;24,77
Frei Inocêncio (MG);Município;312690;88,63;94,07;96,88;98,15;25,87
Frei Lagonegro (MG);Município;312695;78,27;61,6;94,19;99,33;21,31
Fronteira (MG);Município;312700;97,79;98,15;98,99;99,84;26,1
Fronteira dos Vales (MG);Município;312705;81,73;83,5;84;95,25;20,39
Fruta de Leite (MG);Município;312707;54,69;56,15;82,34;95,08;28,36
Frutal (MG);Município;312710;96,35;96,36;99,24;99,84;15,29
Funilândia (MG);Município;312720;90,51;91,6;98,19;99,77;19,56
Galiléia (MG);Município;312730;95,75;97,93;82,27;99,19;18,15
Gameleiras (MG);Município;312733;87,73;75,2;70,51;96,73;19,29
Glaucilândia (MG);Município;312735;72,8;83,25;94,94;99,56;16,96
Goiabeira (MG);Município;312737;96,67;98,13;91,18;99,78;12,57
Goianá (MG);Município;312738;96,86;99,7;100;100;16,98
Gonçalves (MG);Município;312740;58,85;98,33;100;99,46;14,58
Gonzaga (MG);Município;312750;86,15;83,24;95,58;99,43;20,41
Gouveia (MG);Município;312760;91,85;95,86;99,13;98,7;22,2
Governador Valadares (MG);Município;312770;98,49;98;98,1;99,87;21,87
Grão Mogol (MG);Município;312780;57,37;67,73;95,66;95,59;30,5
Grupiara (MG);Município;312790;97,62;98,52;99,6;100;9,88
Guanhães (MG);Município;312800;94,17;91,89;96,74;98,84;17,36
Guapé (MG);Município;312810;90,05;99,48;99,8;99,6;14,52
Guaraciaba (MG);Município;312820;84,88;84,11;99,34;98,55;16,65
Guaraciama (MG);Município;312825;81,64;91,68;97,54;98,35;17,92
Guaranésia (MG);Município;312830;98,93;99,77;99,27;100;18,53
Guarani (MG);Município;312840;97,02;97,69;99,38;99,37;15,8
Guarará (MG);Município;312850;98,18;98,45;100;100;21,14
Guarda-Mor (MG);Município;312860;81,22;94,61;99,9;98,49;15,56
Guaxupé (MG);Município;312870;99,35;99,5;99,39;99,98;20,49
Guidoval (MG);Município;312880;95,37;98,53;99;99,9;12,65
Guimarânia (MG);Município;312890;92,07;97,82;99,69;100;14,93
Guiricema (MG);Município;312900;91,64;99,23;98,51;100;8,82
Gurinhatã (MG);Município;312910;87,63;95,37;98,94;97,46;8,04
Heliodora (MG);Município;312920;88,98;99,88;99,83;99,93;15,35
Iapu (MG);Município;312930;95,88;98,01;97,9;99,88;17,96
Ibertioga (MG);Município;312940;90,96;98,04;96,22;99,94;16,02
Ibiá (MG);Município;312950;96,78;94,7;99,53;99,39;12,81
Ibiaí (MG);Município;312960;81,32;75,37;78,62;96,23;30,02
Ibiracatu (MG);Município;312965;83,59;71,06;88,24;98,33;31,23
Ibiraci (MG);Município;312970;97,56;97,5;99,89;99,51;24,51
Ibirité (MG);Município;312980;99,29;98,51;98,21;99,84;27,5
Ibitiúra de Minas (MG);Município;312990;86,28;96,95;99,68;100;14,52
Ibituruna (MG);Município;313000;98,15;99,65;99,56;100;8,13
Icaraí de Minas (MG);Município;313005;79,83;58,89;84,59;98,23;36,89
Igarapé (MG);Município;313010;97,09;97,52;94,7;100;27,09
Igaratinga (MG);Município;313020;93,07;99,55;98,78;99,72;13,77
Iguatama (MG);Município;313030;95,08;99,58;98,35;99,86;11,01
Ijaci (MG);Município;313040;97,22;99,24;96,23;99,95;15,13
Ilicínea (MG);Município;313050;90,94;99,51;99,58;100;11,62
Imbé de Minas (MG);Município;313055;89,95;93,51;96,42;99,51;23,51
Inconfidentes (MG);Município;313060;80,01;97,66;99,91;99,91;16,55
Indaiabira (MG);Município;313065;71,76;60,63;90,41;94,31;19,54
Indianópolis (MG);Município;313070;93,84;91,33;98,13;99,95;22,09
Ingaí (MG);Município;313080;88,01;99,32;98,57;100;15,86
Inhapim (MG);Município;313090;85,22;97,85;80,08;98,41;14,68
Inhaúma (MG);Município;313100;93,58;96,29;98,65;99,81;19,27
Inimutaba (MG);Município;313110;82,88;94,49;97,6;99,34;25,05
Ipaba (MG);Município;313115;95,27;97;98,68;98,43;25,73
Ipanema (MG);Município;313120;89,49;98,57;98,57;99,19;18,57
Ipatinga (MG);Município;313130;98,14;98,72;99,85;99,93;16,81
Ipiaçu (MG);Município;313140;99,57;99,92;100;100;12,73
Ipuiúna (MG);Município;313150;86,22;99,06;99,34;99,76;16,65
Iraí de Minas (MG);Município;313160;89,02;97,13;99,41;100;16,11
Itabira (MG);Município;313170;95,94;96,96;98,69;99,81;19,26
Itabirinha (MG);Município;313180;94,43;95,99;96,72;99,47;22,24
Itabirito (MG);Município;313190;94,41;99,38;99,21;99,94;17,12
Itacambira (MG);Município;313200;64,69;69,12;89,06;96,27;19,84
Itacarambi (MG);Município;313210;80,96;90,86;97,48;97,32;35,85
Itaguara (MG);Município;313220;94,66;94,95;99,66;99,96;8,58
Itaipé (MG);Município;313230;82,6;72,25;94,2;96,29;33,07
Itajubá (MG);Município;313240;96,55;98,17;99,73;99,92;19,81
Itamarandiba (MG);Município;313250;84,61;80,82;87;97,8;20,27
Itamarati de Minas (MG);Município;313260;92,46;99,74;100;100;13,64
Itambacuri (MG);Município;313270;91,66;79,16;91,63;97,39;29,86
Itambé do Mato Dentro (MG);Município;313280;73,74;95,43;97,15;99,53;14,01
Itamogi (MG);Município;313290;96,12;99,94;99,66;99,92;14,55
Itamonte (MG);Município;313300;74,13;99,28;99,44;98,96;20,18
Itanhandu (MG);Município;313310;94,83;99,59;99,61;99,84;15,37
Itanhomi (MG);Município;313320;92,53;98,05;95,65;99,54;16,86
Itaobim (MG);Município;313330;85;80,26;98,09;98,63;23,1
Itapagipe (MG);Município;313340;95,98;93,89;99,74;99,74;10,99
Itapecerica (MG);Município;313350;91,67;97,2;99,43;99,73;8,66
Itapeva (MG);Município;313360;89,84;98,66;99,17;99,59;23,37
Itatiaiuçu (MG);Município;313370;84,61;98,83;99,52;99,43;16,62
Itaú de Minas (MG);Município;313375;99,31;99,44;99,81;100;13,2
Itaúna (MG);Município;313380;99,31;98,41;99,97;99,98;11,46
Itaverava (MG);Município;313390;77,27;91,14;89,39;99,36;16,41
Itinga (MG);Município;313400;77,77;61,91;94,39;96,65;30,25
Itueta (MG);Município;313410;87,45;92,98;97,66;99,72;14,84
Ituiutaba (MG);Município;313420;98,82;97,87;99,4;99,87;16,27
Itumirim (MG);Município;313430;96,61;97,75;98,36;99,96;14,63
Iturama (MG);Município;313440;94,2;93,79;99,41;99,82;17,1
Itutinga (MG);Município;313450;92,07;98,29;98,63;99,94;13,62
Jaboticatubas (MG);Município;313460;87,47;91,19;86,71;99,79;23,03
Jacinto (MG);Município;313470;89,14;76,03;85,53;94,97;19,19
Jacuí (MG);Município;313480;89,32;99,3;98,5;99,75;13,55
Jacutinga (MG);Município;313490;97,9;99,39;99,77;99,48;15,8
Jaguaraçu (MG);Município;313500;92;98,5;100;99,41;18,69
Jaíba (MG);Município;313505;86,2;83,1;92,1;96,33;35,63
Jampruca (MG);Município;313507;92,62;86,35;73,58;95,92;27,64
Janaúba (MG);Município;313510;95,84;88,43;92,98;99,43;24,82
Januária (MG);Município;313520;76,01;76,34;71,73;97,22;30,93
Japaraíba (MG);Município;313530;99,14;99,82;99,27;100;5,61
Japonvar (MG);Município;313535;94,84;74,16;88,47;97,35;25,85
Jeceaba (MG);Município;313540;75,64;84,86;92,82;98,94;13,45
Jenipapo de Minas (MG);Município;313545;63,2;68,6;90,69;98,95;36,45
Jequeri (MG);Município;313550;86,08;96,24;90,04;97,97;15,48
Jequitaí (MG);Município;313560;76,16;76,56;80,32;98,52;19,58
Jequitibá (MG);Município;313570;82,32;83,37;85,15;99,09;19,74
Jequitinhonha (MG);Município;313580;85,2;74,68;91,16;91,27;28,57
Jesuânia (MG);Município;313590;92,24;99,47;99,7;99,95;15,41
Joaíma (MG);Município;313600;87,12;77,65;95,15;94,6;31,16
Joanésia (MG);Município;313610;90,07;95,59;85,02;99,12;15,34
João Monlevade (MG);Município;313620;98,67;99,33;99,19;100;14,85
João Pinheiro (MG);Município;313630;90,69;93,88;98,55;97,92;20,29
Joaquim Felício (MG);Município;313640;69,82;85,12;88,22;96,31;28,38
Jordânia (MG);Município;313650;83,79;76,9;97,93;93,22;25,07
José Gonçalves de Minas (MG);Município;313652;63,67;85,86;91,43;99,26;22,25
Josenópolis (MG);Município;313657;67,94;66,5;85,47;83,32;28,79
José Raydan (MG);Município;313655;76,85;84,42;95,82;98,51;26,52
Juatuba (MG);Município;313665;95,05;93,35;93,27;99,91;24,94
Juiz de Fora (MG);Município;313670;97,98;98,48;99,13;99,77;17,38
Juramento (MG);Município;313680;61,8;86,47;96,11;98,83;17,57
Juruaia (MG);Município;313690;69,24;99,68;99,89;99,79;14,69
Juvenília (MG);Município;313695;82,4;65,18;63,18;92,14;29,83
Ladainha (MG);Município;313700;81,65;63,78;90,53;94,27;34,13
Lagamar (MG);Município;313710;86,49;97,59;96,64;99,15;10,03
Lagoa da Prata (MG);Município;313720;99,43;99,23;99,6;99,92;13,86
Lagoa dos Patos (MG);Município;313730;77,98;80,81;95,26;97,68;27,08
Lagoa Dourada (MG);Município;313740;94,19;98,66;98,66;99,68;15,95
Lagoa Formosa (MG);Município;313750;94,89;96,34;99,56;99,98;10,19
Lagoa Grande (MG);Município;313753;92,44;94,03;98,47;99,1;13,02
Lagoa Santa (MG);Município;313760;98,46;97,59;98,38;99,96;21,46
Lajinha (MG);Município;313770;86,38;99,43;95,43;99,64;18,35
Lambari (MG);Município;313780;88,66;99,68;99,59;99,84;18,65
Lamim (MG);Município;313790;84,08;95,33;93,69;99,23;21,31
Laranjal (MG);Município;313800;94,12;99,71;99,47;99,68;15,83
Lassance (MG);Município;313810;83,79;72,77;92,49;97,99;29,27
Lavras (MG);Município;313820;98,01;98,21;99,28;99,95;15,83
Leandro Ferreira (MG);Município;313830;94,75;78,31;98,67;99,52;15,28
Leme do Prado (MG);Município;313835;81;92,14;95,73;99,33;25,66
Leopoldina (MG);Município;313840;96,45;99,23;97,87;99,92;20,95
Liberdade (MG);Município;313850;88,25;96,57;99,02;95,03;17,87
Lima Duarte (MG);Município;313860;89,01;95,53;98,04;98,1;15,19
Limeira do Oeste (MG);Município;313862;90,29;93,8;96,93;96,69;14,09
Lontra (MG);Município;313865;91,85;72,58;86,52;99,44;29,54
Luisburgo (MG);Município;313867;76,89;98,18;99,81;99,65;12,34
Luislândia (MG);Município;313868;77,34;64,18;89,83;95,5;29,33
Luminárias (MG);Município;313870;93,77;97,77;99,21;99,51;12,92
Luz (MG);Município;313880;95,69;98,59;99,64;99,93;11,56
Machacalis (MG);Município;313890;95,54;91,57;95,61;96,79;20,76
Machado (MG);Município;313900;96,88;99,62;99,68;99,85;20,13
Madre de Deus de Minas (MG);Município;313910;89,83;98,94;98,02;99,62;14,98
Malacacheta (MG);Município;313920;89,09;76,31;86,2;96,51;27,13
Mamonas (MG);Município;313925;86,86;90,76;86,53;99,76;6,7
Manga (MG);Município;313930;77,38;78,55;97,74;96,34;32,24
Manhuaçu (MG);Município;313940;94,2;98,03;96,45;99,81;18,15
Manhumirim (MG);Município;313950;95,16;99,35;98,56;99,72;19,99
Mantena (MG);Município;313960;95,47;95,62;97,32;98,75;13,15
Maravilhas (MG);Município;313970;92,5;89,51;97,41;99,52;17,44
Mar de Espanha (MG);Município;313980;97,22;98,92;98,03;100;16,37
Maria da Fé (MG);Município;313990;79,52;98,07;98,61;99,78;22,52
Mariana (MG);Município;314000;94,67;96,32;95,34;99,34;20,53
Marilac (MG);Município;314010;98,01;97,77;79,22;99,69;21,07
Mário Campos (MG);Município;314015;97,16;98,1;97,78;99,72;23,39
Maripá de Minas (MG);Município;314020;95,49;100;100;100;12,11
Marliéria (MG);Município;314030;89,15;95,47;98,01;97,81;21,23
Marmelópolis (MG);Município;314040;75,8;99,48;99,52;99,07;17,84
Martinho Campos (MG);Município;314050;96,02;97,99;94,82;99,95;11,92
Martins Soares (MG);Município;314053;82,33;98,72;98,58;99,27;18,36
Mata Verde (MG);Município;314055;91,73;92,25;98,19;98,7;26,85
Materlândia (MG);Município;314060;90,23;69,1;80,55;95,32;20,15
Mateus Leme (MG);Município;314070;94,2;94,9;91,01;99,62;20,45
Mathias Lobato (MG);Município;317150;98,38;98,95;61,46;98,96;32,71
Matias Barbosa (MG);Município;314080;97;99,72;97,53;99,77;20,07
Matias Cardoso (MG);Município;314085;70,41;60,89;67,36;92,9;35,84
Matipó (MG);Município;314090;96,03;97,03;94;99,67;24,25
Mato Verde (MG);Município;314100;92,05;84,65;93,61;99,22;14,9
Matozinhos (MG);Município;314110;96,57;98,09;99,68;100;21,63
Matutina (MG);Município;314120;95,48;98,12;98,83;99,6;5,18
Medeiros (MG);Município;314130;84,03;99,51;99,79;99,88;14,48
Medina (MG);Município;314140;90,64;81,68;95,34;98,7;20,42
Mendes Pimentel (MG);Município;314150;90,07;93,6;96,2;98,96;15,49
Mercês (MG);Município;314160;85,79;97,41;99,47;99,54;13,24
Mesquita (MG);Município;314170;88,91;97,3;84,9;98,33;19,85
Minas Novas (MG);Município;314180;55,44;69,47;82,96;97,74;30,07
Minduri (MG);Município;314190;95,57;99,49;95,22;99,39;19,05
Mirabela (MG);Município;314200;89,15;84,26;78,49;98,47;30,65
Miradouro (MG);Município;314210;89,15;96,26;99,27;99,91;13,41
Miraí (MG);Município;314220;96,54;99,68;97,63;99,96;22,66
Miravânia (MG);Município;314225;90,23;68,42;86,49;97,1;22,4
Moeda (MG);Município;314230;60,18;97,28;94,68;100;14,86
Moema (MG);Município;314240;99,21;99,33;99,19;99,79;8,05
Monjolos (MG);Município;314250;77,81;89,29;78,08;98,5;24,54
Monsenhor Paulo (MG);Município;314260;93,09;99,95;98,9;100;14,21
Montalvânia (MG);Município;314270;79,42;71;84,55;97,61;24,86
Monte Alegre de Minas (MG);Município;314280;98,23;99,5;98,63;99,75;13,86
Monte Azul (MG);Município;314290;87,33;80,6;94,79;99,44;19,98
Monte Belo (MG);Município;314300;87,14;98,88;98,77;100;18,87
Monte Carmelo (MG);Município;314310;97,93;98,2;98,64;99,83;13,03
Monte Formoso (MG);Município;314315;75,55;64,83;98,53;95,94;33,13
Monte Santo de Minas (MG);Município;314320;96,74;99,44;99,86;99,92;17,16
Montes Claros (MG);Município;314330;95,05;95,22;98,6;99,66;24,93
Monte Sião (MG);Município;314340;94,36;92,41;99,19;99,95;16,52
Montezuma (MG);Município;314345;84,26;72,42;91,04;97,6;23,07
Morada Nova de Minas (MG);Município;314350;88,85;98,13;94,97;98,7;11,31
Morro da Garça (MG);Município;314360;74,26;95,17;83,76;100;19,42
Morro do Pilar (MG);Município;314370;84,57;89,04;83,27;97,25;14,76
Munhoz (MG);Município;314380;88,69;98,54;100;99,72;25,21
Muriaé (MG);Município;314390;98,95;98,32;99,42;99,95;16,88
Mutum (MG);Município;314400;86;96,46;89,41;98,96;15,56
Muzambinho (MG);Município;314410;89,41;99,95;98,94;99,77;15,87
Nacip Raydan (MG);Município;314420;86,91;91,36;86,75;96,92;23,19
Nanuque (MG);Município;314430;98,14;93,66;95,24;99,5;19,4
Naque (MG);Município;314435;99,45;97,7;92,14;99,67;28,41
Natalândia (MG);Município;314437;81,09;91,74;96,88;99,53;17,37
Natércia (MG);Município;314440;81,39;97,74;100;99,93;9,05
Nazareno (MG);Município;314450;95,71;99,44;98,42;99,58;13,7
Nepomuceno (MG);Município;314460;94,32;97,43;98,29;99,56;17,42
Ninheira (MG);Município;314465;55,33;64,62;97,03;96,71;15,31
Nova Belém (MG);Município;314467;87,39;87,08;91,57;99,29;20,85
Nova Era (MG);Município;314470;88,35;96,8;99,33;99,8;22,88
Nova Lima (MG);Município;314480;94,76;97,72;99,58;99,7;18,16
Nova Módica (MG);Município;314490;94,43;95,43;98,51;99,11;18,67
Nova Ponte (MG);Município;314500;96,81;99,42;99,23;99,9;18,92
Nova Porteirinha (MG);Município;314505;90,11;88,86;87,15;99,17;30,05
Nova Resende (MG);Município;314510;73,63;99,11;98,29;99,72;15,05
Nova Serrana (MG);Município;314520;98,52;98,75;99,77;99,69;24,58
Nova União (MG);Município;313660;88,63;95,77;95,01;98,14;21,44
Novo Cruzeiro (MG);Município;314530;72,51;56,23;79,74;94,44;30,39
Novo Oriente de Minas (MG);Município;314535;83,63;68,95;90,87;82,34;26,84
Novorizonte (MG);Município;314537;56,56;57,5;95,52;98,83;21,02
Olaria (MG);Município;314540;82,54;81,91;97,72;99,42;9,54
Olhos-D'Água (MG);Município;314545;72,01;83,16;98,98;98,03;24,01
Olímpio Noronha (MG);Município;314550;98,5;99,81;99,86;99,85;16,62
Oliveira (MG);Município;314560;96,61;99,25;99,45;100;14,07
Oliveira Fortes (MG);Município;314570;87,67;97,18;94,72;100;18,03
Onça de Pitangui (MG);Município;314580;71,2;95,94;98,45;99,73;18,17
Oratórios (MG);Município;314585;95,17;99,59;98,25;99,84;21,21
Orizânia (MG);Município;314587;82,27;98;95,98;99,96;15,51
Ouro Branco (MG);Município;314590;93,94;98,72;99,12;99,95;11,42
Ouro Fino (MG);Município;314600;93,51;97,95;100;99,64;18,88
Ouro Preto (MG);Município;314610;92,09;98,16;98,8;99,67;19,36
Ouro Verde de Minas (MG);Município;314620;92,1;82,07;94,71;99,36;27,53
Padre Carvalho (MG);Município;314625;77,42;67,7;57,8;93,99;32
Padre Paraíso (MG);Município;314630;75,73;76,54;91,34;97,65;33,25
Paineiras (MG);Município;314640;94,23;95,92;91,06;98,4;5,33
Pains (MG);Município;314650;94,61;99,16;98,86;100;7,11
Pai Pedro (MG);Município;314655;58,35;44,29;97,23;96,43;24,14
Paiva (MG);Município;314660;87,6;99,62;93,63;99,65;2,62
Palma (MG);Município;314670;96,93;99,66;97,51;99,95;20,3
Palmópolis (MG);Município;314675;86,03;75,26;91,58;93,19;18,42
Papagaios (MG);Município;314690;97,41;97,67;97,64;99,83;23,02
Paracatu (MG);Município;314700;95,16;95,04;99,12;99,58;23
Pará de Minas (MG);Município;314710;97,97;97,84;99,73;99,97;14,21
Paraguaçu (MG);Município;314720;95,83;99,87;99,85;99,64;12,63
Paraisópolis (MG);Município;314730;90,31;99,81;99,12;99,79;15,66
Paraopeba (MG);Município;314740;93,54;94,69;98,2;99,47;20,05
Passabém (MG);Município;314750;62,3;95,36;93,86;98,87;17,01
Passa Quatro (MG);Município;314760;91,31;95,98;98,99;99,82;22,05
Passa Tempo (MG);Município;314770;92,37;98,98;96,21;99,65;10,83
Passa-Vinte (MG);Município;314780;88,51;97,7;100;97,09;16,74
Passos (MG);Município;314790;99,02;98,39;99,81;99,93;17,6
Patis (MG);Município;314795;92,44;74,01;98,88;96,77;31,37
Patos de Minas (MG);Município;314800;96,53;99,05;99,65;99,86;10,03
Patrocínio (MG);Município;314810;96,47;98,19;99,21;99,57;16,57
Patrocínio do Muriaé (MG);Município;314820;97,49;99,15;98,34;99,78;16,45
Paula Cândido (MG);Município;314830;92,33;93,4;98,85;99,57;15,34
Paulistas (MG);Município;314840;89,18;80,79;91,38;97,03;25,39
Pavão (MG);Município;314850;92,77;85,15;87,47;98,75;28,66
Peçanha (MG);Município;314860;88,33;75,44;82,82;90,67;22,96
Pedra Azul (MG);Município;314870;91,84;80,29;93,14;98,66;23,93
Pedra Bonita (MG);Município;314875;77,43;96,2;100;94,39;18,95
Pedra do Anta (MG);Município;314880;93,35;99,83;97,21;99,79;11,85
Pedra do Indaiá (MG);Município;314890;92,67;97,96;98,98;100;7,81
Pedra Dourada (MG);Município;314900;80,68;99,49;99,71;99,66;23,67
Pedralva (MG);Município;314910;75,32;98,46;100;99,86;18,94
Pedras de Maria da Cruz (MG);Município;314915;75,56;73,55;81,58;98,84;40,4
Pedrinópolis (MG);Município;314920;95,51;78,3;99,2;99,63;7,95
Pedro Leopoldo (MG);Município;314930;98,42;99,28;99;99,9;20,37
Pedro Teixeira (MG);Município;314940;92,83;93,96;100;98,69;19,44
Pequeri (MG);Município;314950;98,37;100;99,63;98,46;21,96
Pequi (MG);Município;314960;90,46;97,17;96,01;99,86;12,39
Perdigão (MG);Município;314970;95,08;99,5;97,87;100;14,28
Perdizes (MG);Município;314980;94,69;96,14;99,94;99,74;18,05
Perdões (MG);Município;314990;97,3;98,67;99,5;100;15,15
Periquito (MG);Município;314995;99,1;95,09;75,98;98,51;24,55
Pescador (MG);Município;315000;95,96;94,3;96,91;98,63;25,99
Piau (MG);Município;315010;88,06;97,96;99,43;100;15,96
Piedade de Caratinga (MG);Município;315015;98,6;99,5;99,7;99,96;23,63
Piedade de Ponte Nova (MG);Município;315020;97,74;99,66;98,43;99,93;22,08
Piedade do Rio Grande (MG);Município;315030;91,08;95,27;93,95;99,73;5,5
Piedade dos Gerais (MG);Município;315040;80,08;85,22;99,01;99,47;10,24
Pimenta (MG);Município;315050;96,14;98,89;99,18;100;11,92
Pingo-D'Água (MG);Município;315053;98,62;98,88;98,49;98,45;19,97
Pintópolis (MG);Município;315057;69,16;62,38;80,57;95,99;28,9
Piracema (MG);Município;315060;92,25;95,87;99,44;99,34;12,69
Pirajuba (MG);Município;315070;99,67;99,34;100;99,56;20,53
Piranga (MG);Município;315080;73,54;95,01;98,22;98,55;19,15
Piranguçu (MG);Município;315090;70,04;97,76;100;99,17;18,1
Piranguinho (MG);Município;315100;88,83;98,58;99,48;100;18,03
Pirapetinga (MG);Município;315110;98,62;98,9;99,26;99,96;21,1
Pirapora (MG);Município;315120;98,17;97,57;98,23;99,61;26,59
Piraúba (MG);Município;315130;98,85;99,69;98,4;99,22;14,2
Pitangui (MG);Município;315140;90,26;88,84;99,36;100;14,97
Piumhi (MG);Município;315150;97,79;99,15;99,78;99,92;10,35
Planura (MG);Município;315160;99,27;99;98,97;98,61;18,88
Poço Fundo (MG);Município;315170;79,73;99,4;99,23;99,55;11,12
Poços de Caldas (MG);Município;315180;99,06;98,57;99,89;99,92;15,79
Pocrane (MG);Município;315190;93,66;94,72;97,44;99,49;16,26
Pompéu (MG);Município;315200;96,33;91,9;99;98,73;20,47
Ponte Nova (MG);Município;315210;94,38;98,16;98,72;99,59;18,74
Ponto Chique (MG);Município;315213;80,15;62,77;86,17;97,65;28,71
Ponto dos Volantes (MG);Município;315217;67,97;62,01;92,87;96,44;30,01
Porteirinha (MG);Município;315220;75,87;69,43;89,05;98,49;15,16
Porto Firme (MG);Município;315230;89,15;93,19;100;99,25;17,85
Poté (MG);Município;315240;89,54;77,51;85,66;97,99;24,93
Pouso Alegre (MG);Município;315250;98,35;99;99,73;99,92;17,7
Pouso Alto (MG);Município;315260;82,9;97,91;96,46;99,39;16,74
Prados (MG);Município;315270;88,82;98,53;94,1;99,42;12,85
Prata (MG);Município;315280;96,93;97,05;96,86;99,36;13,69
Pratápolis (MG);Município;315290;97,39;99,62;99,08;99,73;13,9
Pratinha (MG);Município;315300;90,84;88,14;99,54;99,73;12,94
Presidente Bernardes (MG);Município;315310;71,21;95;99,42;98,16;14,06
Presidente Juscelino (MG);Município;315320;64,23;88,42;98,31;97,81;22,29
Presidente Kubitschek (MG);Município;315330;90,13;84,57;99,74;98,55;25,64
Presidente Olegário (MG);Município;315340;89,24;94,51;91,51;98,86;9,3
Prudente de Morais (MG);Município;315360;97,08;98,08;99,53;100;25,13
Quartel Geral (MG);Município;315370;96,5;97,22;91,97;99,6;13,25
Queluzito (MG);Município;315380;81,89;99,42;99,81;100;10,1
Raposos (MG);Município;315390;97,63;82,93;99;100;21,1
Raul Soares (MG);Município;315400;92,38;97,92;95,51;99,41;15,73
Recreio (MG);Município;315410;99,12;99,6;98,14;100;15,13
Reduto (MG);Município;315415;88,84;99,24;98,78;99,52;22,68
Resende Costa (MG);Município;315420;92,88;99,01;97,32;98,98;10,87
Resplendor (MG);Município;315430;94,67;97,35;96,15;98,46;16,15
Ressaquinha (MG);Município;315440;78,03;97,29;87,63;99,39;9,73
Riachinho (MG);Município;315445;76,17;79,61;88,63;90,43;20,19
Riacho dos Machados (MG);Município;315450;65,96;70,71;80,35;95,96;24,7
Ribeirão das Neves (MG);Município;315460;97,97;94,16;97,03;99,83;28,88
Ribeirão Vermelho (MG);Município;315470;97,61;99,72;99,59;99,92;13,87
Rio Acima (MG);Município;315480;96,77;98,42;98,5;100;24,5
Rio Casca (MG);Município;315490;97,43;98,36;95,08;98,1;19,66
Rio Doce (MG);Município;315500;90,58;96,8;100;99,82;15,5
Rio do Prado (MG);Município;315510;82,85;68,13;99,63;97,24;17,05
Rio Espera (MG);Município;315520;79,34;89,68;93,73;98,59;15,27
