Lugar;Espacialidade;COD IBGE;% da população em domicílios com água encanada (2010);% da população em domicílios com banheiro e água encanada (2010);% da população em domicílios com coleta de lixo (2010);% da população em domicílios com energia elétrica (2010);% da população em domicílios com densidade > 2 (2010)
Olho D'Água Grande (AL);Município;270590;50,65;51,18;89,39;97,34;41,75
Olivença (AL);Município;270600;45,1;37,9;98,45;99,43;36,5
Ouro Branco (AL);Município;270610;37,82;24,91;87,28;99,14;40,06
Palestina (AL);Município;270620;82,31;74,27;95,62;99,26;38,12
Palmeira dos Índios (AL);Município;270630;80,3;68,95;91,63;99,33;25,86
Pão de Açúcar (AL);Município;270640;76,86;71,05;99,91;98,49;40,76
Pariconha (AL);Município;270642;61,52;48,51;93,85;95,91;43,23
Paripueira (AL);Município;270644;92,47;81,47;91,29;98,11;43,76
Passo de Camaragibe (AL);Município;270650;75,59;58,66;97,3;99,08;42,88
Paulo Jacinto (AL);Município;270660;84,47;81,59;99,42;99,55;35,21
Penedo (AL);Município;270670;95,06;88,71;99,27;98,6;31,96
Piaçabuçu (AL);Município;270680;84,15;77,49;99,03;97,95;39,32
Pilar (AL);Município;270690;90,01;91,88;98,88;99,46;39,41
Pindoba (AL);Município;270700;85,15;72,06;98,08;96,04;34,32
Piranhas (AL);Município;270710;71,91;62,52;98,18;95,59;41,42
Poço das Trincheiras (AL);Município;270720;23,79;19,76;98,71;97,66;48,34
Porto Calvo (AL);Município;270730;86,25;74,47;96,8;98,45;40,57
Porto de Pedras (AL);Município;270740;72,2;56,44;66,93;97,19;43,09
Porto Real do Colégio (AL);Município;270750;71,29;75,12;100;99,65;42,78
Quebrangulo (AL);Município;270760;76,59;68,08;99,28;95,21;36,55
Rio Largo (AL);Município;270770;77,58;89,61;88,92;99,38;33,46
Roteiro (AL);Município;270780;87,83;70,77;75,11;99,08;46,36
Santa Luzia do Norte (AL);Município;270790;71,34;87,69;95,39;98,92;39,11
Santana do Ipanema (AL);Município;270800;71,05;61,64;95,79;98,4;38,43
Santana do Mundaú (AL);Município;270810;78,5;74,33;91,2;98,23;39,04
São Brás (AL);Município;270820;89,74;82,62;93,64;98,61;33,62
São José da Laje (AL);Município;270830;87,25;71,08;84,55;98,64;39,92
São José da Tapera (AL);Município;270840;48,62;39,76;96,59;98,06;46,06
São Luís do Quitunde (AL);Município;270850;52,47;57,96;85,84;98,16;47,42
São Miguel dos Campos (AL);Município;270860;96,16;95,41;99,31;99,54;35,93
São Miguel dos Milagres (AL);Município;270870;91,15;82,67;68,18;98,76;31,37
São Sebastião (AL);Município;270880;78,03;49,41;96,62;99,63;34,05
Satuba (AL);Município;270890;88,46;92,07;97,89;99,57;35,29
Senador Rui Palmeira (AL);Município;270895;25,57;23,07;99,06;98,81;48,73
Tanque D'Arca (AL);Município;270900;68,01;55,57;99,71;98,38;30,5
Taquarana (AL);Município;270910;74,19;54,13;95,94;99,17;26,45
Teotônio Vilela (AL);Município;270915;83,78;80,75;98,38;99,22;42,32
Traipu (AL);Município;270920;37,18;29,09;82,18;94,9;49,33
União dos Palmares (AL);Município;270930;90,57;83,97;97,46;99,15;35,87
Viçosa (AL);Município;270940;83,52;84,2;97,4;98,73;34,81
Alvarães (AM);Município;130002;48,93;25,53;88,14;94,36;72,73
Amaturá (AM);Município;130006;66,65;37,25;73,1;77,53;69,07
Anamã (AM);Município;130008;58,47;46,79;96,3;93,25;67,42
Anori (AM);Município;130010;66,86;52,94;75,11;88,44;65,45
Apuí (AM);Município;130014;86,73;46,5;91,35;82,12;44,68
Atalaia do Norte (AM);Município;130020;36,29;17,52;50,61;60,84;69,88
Autazes (AM);Município;130030;57,01;24,55;90,34;81,35;67,07
Barcelos (AM);Município;130040;49,81;37,94;92,93;75,46;72,88
Barreirinha (AM);Município;130050;55,14;35,69;67,93;78,85;74,59
Benjamin Constant (AM);Município;130060;53,48;22,34;76,16;86,36;71,69
Beruri (AM);Município;130063;54,61;21,95;76,23;83,61;74,68
Boa Vista do Ramos (AM);Município;130068;58,8;36,65;88,32;77,04;75,22
Boca do Acre (AM);Município;130070;67,42;28,18;74,81;83,51;51,55
Borba (AM);Município;130080;54,65;30,97;95,38;81,19;74,85
Caapiranga (AM);Município;130083;29,69;43,17;83,59;91,4;65,16
Canutama (AM);Município;130090;73,71;53,11;72,04;79,38;51,74
Carauari (AM);Município;130100;64,62;31,13;91,3;92,57;59,13
Careiro (AM);Município;130110;56,5;32,3;98,47;88,45;68,87
Careiro da Várzea (AM);Município;130115;14,95;16,07;88,71;88,19;49,87
Coari (AM);Município;130120;32,29;51,77;85,17;88,37;65,54
Codajás (AM);Município;130130;63,71;47,59;88,13;92,78;68,04
Eirunepé (AM);Município;130140;52,29;23,75;45,84;82,73;53,4
Envira (AM);Município;130150;44,82;24,55;91,75;73,34;55,43
Fonte Boa (AM);Município;130160;67,64;31,25;66,57;88,32;72,65
Guajará (AM);Município;130165;62,11;15,92;78,49;66,5;66,36
Humaitá (AM);Município;130170;77,32;58,58;91,88;90,73;56,12
Ipixuna (AM);Município;130180;41,52;15,3;74,46;66,44;68,8
Iranduba (AM);Município;130185;70,95;55,44;91,96;94,68;62,14
Itacoatiara (AM);Município;130190;78,88;62,11;97,62;92,63;59,14
Itamarati (AM);Município;130195;52,1;19,03;52,8;69,27;59,27
Itapiranga (AM);Município;130200;82,78;48,43;91,65;89,43;61,75
Japurá (AM);Município;130210;48,06;31,51;43,83;86,57;73,99
Juruá (AM);Município;130220;47,97;27,35;77,56;89,02;67,17
Jutaí (AM);Município;130230;63,7;14,65;20,16;85,11;77,25
Lábrea (AM);Município;130240;48,22;41,87;81,31;79,79;59,85
Manacapuru (AM);Município;130250;70,31;55,6;93,78;90,08;64,38
Manaquiri (AM);Município;130255;41,09;31,34;97,6;75,21;66,25
Manaus (AM);Município;130260;89,65;83,55;98,29;99,63;50,19
Manicoré (AM);Município;130270;61,74;30,63;90,5;83,5;67,24
Maraã (AM);Município;130280;49,73;29,03;83,79;90,05;82,75
Maués (AM);Município;130290;53,85;40,49;97,43;76,82;71,87
Nhamundá (AM);Município;130300;47,52;35,61;88,92;80,17;66,54
Nova Olinda do Norte (AM);Município;130310;55,94;25,53;95,65;67,19;75,07
Novo Airão (AM);Município;130320;65,45;44,34;97,46;86,35;69,66
Novo Aripuanã (AM);Município;130330;62,61;29,59;42,41;79,16;68,11
Parintins (AM);Município;130340;73,24;50,17;91;84,92;65,05
Pauini (AM);Município;130350;49,52;15,6;49,27;69,96;79,94
Presidente Figueiredo (AM);Município;130353;83,42;74,67;100;94,6;53,39
Rio Preto da Eva (AM);Município;130356;79,11;71,7;91,76;96,48;57,89
Santa Isabel do Rio Negro (AM);Município;130360;45,24;23,12;94,26;52,51;87,59
Santo Antônio do Içá (AM);Município;130370;50,55;11;65,57;89,18;77,57
São Gabriel da Cachoeira (AM);Município;130380;43,43;27,52;91,47;65,48;77,78
São Paulo de Olivença (AM);Município;130390;38,51;17,23;0,06;70,07;73,51
São Sebastião do Uatumã (AM);Município;130395;68,33;43,03;91,67;75,85;73,32
Silves (AM);Município;130400;54,15;32,66;97,7;81,81;67,9
Tabatinga (AM);Município;130406;73,56;37,13;92,08;92,41;66,49
Tapauá (AM);Município;130410;47,23;46,99;80,94;80,77;63,26
Tefé (AM);Município;130420;79,11;46,53;79,26;96,39;65,68
Tonantins (AM);Município;130423;32,38;9,49;61,9;79,38;68,99
Uarini (AM);Município;130426;60,95;21,38;79,99;90,96;76,13
Urucará (AM);Município;130430;80,65;53,58;96,36;93,63;65,54
Urucurituba (AM);Município;130440;64,7;46,98;76,41;79,07;72,31
Amapá (AP);Município;160010;80,26;35,62;87,32;95,35;57,34
Calçoene (AP);Município;160020;87;35,79;89,47;93,96;57,8
Cutias (AP);Município;160021;73,84;64,72;97,83;95,99;63,39
Ferreira Gomes (AP);Município;160023;77,82;63,02;89,85;95,57;56,28
Itaubal (AP);Município;160025;68,46;45,33;100;91,94;71,41
Laranjal do Jari (AP);Município;160027;91,53;60,59;88,94;98,73;55,95
Macapá (AP);Município;160030;95,07;74,07;98,31;99,81;50,18
Mazagão (AP);Município;160040;62,42;29,83;74,92;85,86;66,86
Oiapoque (AP);Município;160050;84,3;43,89;95,26;95,52;63,01
Pedra Branca do Amapari (AP);Município;160015;80,56;44,07;96,02;84,87;63,13
Porto Grande (AP);Município;160053;84,5;35,57;96,77;94,51;56,12
Pracuúba (AP);Município;160055;95,26;38,08;93,32;98,25;66,13
Santana (AP);Município;160060;92,5;72,21;95,11;99,33;58,11
Serra do Navio (AP);Município;160005;94,59;69,69;95,9;98,25;50,36
Tartarugalzinho (AP);Município;160070;81,57;38,79;91,32;90,14;65,28
Vitória do Jari (AP);Município;160080;67,54;24,9;99,83;94,11;63,97
Abaíra (BA);Município;290010;91,69;94,22;95,21;97,69;14,8
Abaré (BA);Município;290020;77,56;66,02;97,43;90,83;38,23
Acajutiba (BA);Município;290030;95,37;74,67;63,99;97;28,34
Adustina (BA);Município;290035;54,14;41,67;96,47;93,87;24,67
Água Fria (BA);Município;290040;52,85;50,8;90,91;97,35;33,51
Aiquara (BA);Município;290060;75,28;79,14;100;96,29;24,77
Alagoinhas (BA);Município;290070;95,11;90,72;96,83;99,46;24,94
Alcobaça (BA);Município;290080;81,55;64,59;94,44;96,67;35,43
Almadina (BA);Município;290090;90,57;84,84;98,86;94,93;29,16
Amargosa (BA);Município;290100;86,97;83,56;95,1;96,45;21,94
Amélia Rodrigues (BA);Município;290110;87,75;77,07;93,23;99,52;28,53
América Dourada (BA);Município;290115;84,28;63,62;88,6;97,14;29,12
Anagé (BA);Município;290120;34,16;30,91;89,42;93,68;18,74
Andaraí (BA);Município;290130;70;39,12;90,08;89,96;37,82
Andorinha (BA);Município;290135;64,53;52,5;95,27;93,73;19,11
Angical (BA);Município;290140;42,83;74,43;92,56;93,97;23,23
Anguera (BA);Município;290150;61,68;57,06;93,96;97,59;39,98
Antas (BA);Município;290160;85,66;81,03;96,48;90,84;32,04
Antônio Cardoso (BA);Município;290170;61,7;40,06;90,91;98,16;38,3
Antônio Gonçalves (BA);Município;290180;82,1;65,03;92,53;98,23;23,48
Aporá (BA);Município;290190;89,64;75;81,74;95,36;28,04
Apuarema (BA);Município;290195;79,67;72,25;96;91,02;31,22
Araças (BA);Município;290205;90,8;65,7;97,9;95,22;34,99
Aracatu (BA);Município;290200;39,4;49,51;97,83;78,72;17,72
Araci (BA);Município;290210;48,97;41,2;97,39;88,96;38,73
Aramari (BA);Município;290220;73,38;71,65;86,75;98,55;34,92
Arataca (BA);Município;290225;79,53;61,84;95,44;91,89;39,81
Aratuípe (BA);Município;290230;79,85;68,24;95,21;95,85;32,96
Aurelino Leal (BA);Município;290240;82,9;69,73;90,36;94,99;40,08
Baianópolis (BA);Município;290250;89,27;68,85;81,35;98,71;19,62
Baixa Grande (BA);Município;290260;51,63;41,13;97,47;90,7;27,62
Banzaê (BA);Município;290265;97,53;93,49;91,05;98,19;30,81
Barra (BA);Município;290270;72,34;54,28;97,14;86,43;40,05
Barra da Estiva (BA);Município;290280;80,19;81,26;96,7;95,56;24,62
Barra do Choça (BA);Município;290290;84,74;80,33;99,64;96,83;28,7
Barra do Mendes (BA);Município;290300;82,91;79,08;93,57;96,99;18,05
Barra do Rocha (BA);Município;290310;79,98;72,57;98,6;95,49;34,22
Barreiras (BA);Município;290320;92,32;90,73;97,3;99,36;27,16
Barro Alto (BA);Município;290323;94,62;71,07;95,66;98,11;22,74
Barrocas (BA);Município;290327;75,69;63,26;94,22;99,19;23,96
Barro Preto (BA);Município;290330;88,02;75,98;90,77;94,28;32,78
Belmonte (BA);Município;290340;88,68;75,07;92,89;91,77;35,39
Belo Campo (BA);Município;290350;64,56;62,82;95,25;94,8;23,21
Biritinga (BA);Município;290360;87,91;57,7;95,42;95,64;30,1
Boa Nova (BA);Município;290370;71,58;64,09;99,01;84,87;23,85
Boa Vista do Tupim (BA);Município;290380;60,35;32,75;99,85;83,48;34,35
Bom Jesus da Lapa (BA);Município;290390;79,72;75,97;86,76;94,07;30,05
Bom Jesus da Serra (BA);Município;290395;35,18;33;85,89;94,4;21,75
Boninal (BA);Município;290400;86,62;84,51;94,05;98,16;28,15
Bonito (BA);Município;290405;91,13;65,67;99,55;96,22;31,17
Boquira (BA);Município;290410;61,36;53,92;91,78;90,58;26,8
Botuporã (BA);Município;290420;52,17;53,86;98,64;93,49;16,17
Brejões (BA);Município;290430;75,32;66,02;96,35;98,24;29,57
Brejolândia (BA);Município;290440;42,12;59,8;91,4;92,44;17,13
Brotas de Macaúbas (BA);Município;290450;35,51;65,25;91,68;93,78;18,88
Brumado (BA);Município;290460;78,07;77,8;98,49;98,28;18,16
Buerarema (BA);Município;290470;91,84;68,02;94,92;94,66;33,83
Buritirama (BA);Município;290475;57,59;47,43;96,2;92,66;27,29
Caatiba (BA);Município;290480;78,35;89,75;99,8;89,12;32,87
Cabaceiras do Paraguaçu (BA);Município;290485;65,66;52,98;92,86;98,98;40,02
Cachoeira (BA);Município;290490;82,66;72,45;93,51;99,29;29,89
Caculé (BA);Município;290500;87,93;80,8;97,79;96,65;15,82
Caém (BA);Município;290510;61,13;55,06;96,18;93,5;27,66
